chromosome,start,end,CBR110-15-R3a_log2,CBR110-15-R3a_fold_change,Carmaphycin-R9-2_log2,Carmaphycin-R9-2_fold_change,Doxorubicin16-R2b_log2,Doxorubicin16-R2b_fold_change,NODRUG-GM2_log2,NODRUG-GM2_fold_change
X,0,5005,0.2755,1.210,0.3561,1.280,0.1531,1.112,0.1158,1.084
X,5005,10010,0.3917,1.312,0.2078,1.155,0.0870,1.062,0.0188,1.013
X,10010,15015,0.2858,1.219,0.0785,1.056,0.0238,1.017,0.0097,1.007
X,15015,20020,0.4035,1.323,0.1807,1.133,0.1398,1.102,0.0747,1.053
X,20020,25025,0.1427,1.104,-0.0205,0.986,-0.0740,0.950,0.0006,1.000
X,25025,30030,0.1100,1.079,-0.0498,0.966,0.0068,1.005,0.0401,1.028
X,30030,35035,0.1033,1.074,-0.0376,0.974,0.0233,1.016,0.0182,1.013
X,35035,40040,0.2609,1.198,0.0781,1.056,0.1011,1.073,0.0579,1.041
X,40040,45045,-0.0631,0.957,-0.1496,0.902,-0.2138,0.862,0.0298,1.021
X,45045,50050,0.3276,1.255,0.1480,1.108,0.1863,1.138,-0.0549,0.963
X,50050,55055,0.0179,1.012,-0.0657,0.955,-0.0456,0.969,-0.0041,0.997
X,55055,60060,0.2549,1.193,0.1969,1.146,0.2131,1.159,-0.0042,0.997
X,60060,65065,0.1770,1.131,0.1152,1.083,0.1109,1.080,0.0265,1.019
X,65065,70070,0.0540,1.038,0.0074,1.005,-0.0218,0.985,-0.0401,0.973
X,70070,75075,0.0461,1.032,0.0389,1.027,-0.0979,0.934,0.0152,1.011
X,75075,80080,-0.1185,0.921,-0.0251,0.983,-0.1980,0.872,-0.1404,0.907
X,80080,85085,0.1929,1.143,0.1833,1.135,0.1600,1.117,0.0136,1.009
X,85085,90090,-0.0460,0.969,-0.0620,0.958,-0.0494,0.966,-0.0623,0.958
X,90090,95095,-0.2557,0.838,-0.1708,0.888,-0.2386,0.848,0.0577,1.041
X,95095,100100,0.2242,1.168,0.1716,1.126,0.2041,1.152,0.0074,1.005
X,100100,105105,-0.2016,0.870,-0.1316,0.913,-0.0976,0.935,0.0477,1.034
X,105105,110110,0.0047,1.003,-0.0353,0.976,-0.0349,0.976,0.0821,1.059
X,110110,115115,0.3143,1.243,0.1531,1.112,0.1928,1.143,0.0042,1.003
X,115115,120120,0.0764,1.054,0.0758,1.054,0.0165,1.011,0.0097,1.007
X,120120,125126,-0.2646,0.832,-0.2347,0.850,-0.1747,0.886,0.0396,1.028
X,125126,130131,-0.0663,0.955,-0.0367,0.975,0.0636,1.045,0.0842,1.060
X,130131,135136,-0.0482,0.967,0.0199,1.014,-0.0269,0.982,-0.0163,0.989
X,135136,140141,-0.1466,0.903,-0.0133,0.991,-0.1128,0.925,-0.0565,0.962
X,140141,145146,-0.1483,0.902,-0.0040,0.997,-0.0634,0.957,-0.0006,1.000
X,145146,150151,0.0012,1.001,0.1160,1.084,0.0220,1.015,-0.0425,0.971
X,150151,155156,-0.2013,0.870,-0.0541,0.963,-0.0336,0.977,0.0478,1.034
X,155156,160161,-0.1207,0.920,-0.0459,0.969,-0.1260,0.916,-0.0189,0.987
X,160161,165166,-0.1731,0.887,-0.0273,0.981,-0.0003,1.000,-0.0503,0.966
X,165166,170171,-0.0292,0.980,0.0611,1.043,0.1615,1.118,0.0711,1.051
X,170171,175176,0.0120,1.008,0.1271,1.092,0.1462,1.107,0.0029,1.002
X,175176,180181,0.0012,1.001,0.0772,1.055,0.0871,1.062,-0.0109,0.992
X,180181,185186,-0.1337,0.912,0.0221,1.015,0.0074,1.005,0.0665,1.047
X,185186,190191,-0.2336,0.851,-0.2127,0.863,-0.1559,0.898,-0.0125,0.991
X,190191,195196,0.0012,1.001,0.0996,1.072,0.0866,1.062,0.0560,1.040
X,195196,200201,-0.0981,0.934,0.0213,1.015,-0.0020,0.999,-0.0051,0.996
X,200201,205206,-0.0427,0.971,0.0590,1.042,-0.0020,0.999,0.0516,1.036
X,205206,210211,-0.0293,0.980,-0.0924,0.938,0.0469,1.033,-0.0221,0.985
X,210211,215216,-0.1114,0.926,-0.0653,0.956,0.0824,1.059,0.0930,1.067
X,215216,220221,-0.0387,0.974,-0.0511,0.965,0.0680,1.048,0.0190,1.013
X,220221,225226,-0.0344,0.976,0.1223,1.088,-0.0020,0.999,-0.0206,0.986
X,225226,230231,-0.1095,0.927,-0.0650,0.956,-0.0345,0.976,0.0197,1.014
X,230231,235236,-0.0284,0.980,0.0661,1.047,-0.0498,0.966,-0.0083,0.994
X,235236,240241,-0.1521,0.900,-0.0188,0.987,-0.1210,0.920,-0.0010,0.999
X,240241,245246,0.0012,1.001,0.0272,1.019,0.0165,1.011,0.0621,1.044
X,245246,250252,-0.3233,0.799,-0.2083,0.866,-0.2366,0.849,-0.0011,0.999
X,250252,255257,0.0012,1.001,0.0515,1.036,-0.0246,0.983,0.0663,1.047
X,255257,260262,-0.1524,0.900,-0.0151,0.990,-0.0917,0.938,-0.0075,0.995
X,260262,265267,-0.0529,0.964,-0.0043,0.997,-0.1071,0.928,-0.0117,0.992
X,265267,270272,-0.5455,0.685,-0.3582,0.780,-0.4514,0.731,-0.0403,0.972
X,270272,275277,0.0038,1.003,0.0325,1.023,-0.0039,0.997,-0.0217,0.985
X,275277,280282,-0.1398,0.908,-0.0069,0.995,-0.0798,0.946,-0.0656,0.956
X,280282,285287,-0.1159,0.923,-0.0537,0.963,-0.0716,0.952,0.0064,1.004
X,285287,290292,-0.3468,0.786,-0.2561,0.837,-0.2897,0.818,-0.0034,0.998
X,290292,295297,-0.4467,0.734,-0.1346,0.911,-0.0455,0.969,-0.0593,0.960
X,295297,300302,-0.5238,0.696,-0.3709,0.773,-0.2827,0.822,0.0087,1.006
